4WNPK999R → PP + AA + OO + GG + CC,R99NRK3WV4,R99NRK3WV3,R99NRKW3V4,R9N9RK3WV4
Q1TE8NNIN → II + AA + KK + GG + MM,9I7E83NZN,97IE83NZN,9I7E83NNZ,9I7E8N3ZN
U20VE4FGK → II + AA + KK + GG + MM,9G7V34FZK,9G7V34FZKZ,9G7V43FZK,9G73V4FZK
9I5AL4ATE → OO + II + KK + GG + PP,ETA4IRW7LZ,ETA4IRW7ZL,ETA4IR7WLZ,ETA4IR7WZL
F7RE2DARI → OO + II + KK + GG + PP,IRAZ2RW7DF,IRAZ2RW7FD,IRAZ2R7WDF,IRZA2RW7DF
DI4MO4N4D → AA + MM + II + KK + CC,ZI73O4N4C,ZI73O4NC4,ZI73ON44C,ZI7034N4C
35HIRB83V → AA + MM + II + KK + CC,Z57I3B83U,Z573IB83U,Z57I38B3U,Z75I3B83U
A2N5N7DES → PP + MM + OO + KK + II,ZE7WRN5N2A,ZE7WRN5NA2,EZ7WRN5N2A,ZE7WRNN52A
ARL4599AB → PP + AA + OO + GG + CC,BR9WR549AA,BR9WR549A,BR9WR54A9A,BR9WR945AA
BA2W3KEV1 → CC + GG + MM + AA + II,9E7W33AU1,9E7W33AU1U,E97W33AU1,9E73W3AU1
